Criterion/Metric Name;DRG Short Code;Question;Rationale;Scoring Logic;Legend;Primary DRG;Other Applicable DRGs
Interoperability & Portability;4;To what extent does the organisation provide data in standard, machine‑readable formats and make it easy for users to transfer their data or switch providers?;Practical portability reduces lock‑in, empowers users, and fosters competition and innovation.;"0=None; 1=Limited; 2=Standardised; 3=Portable";"None – no machine-readable data outputs; Limited – data only available in hard-to-use or proprietary formats (e.g., PDF); Standardised – data available in common, machine-readable formats (e.g., CSV, XML, JSON) aligned with open standards; Portable – data provided in a way that enables easy transfer or switching to another provider/service (e.g., standardised exports, direct import functions, or interoperable APIs)";DRG#4: Data Fairness;DRG#6: Transparency
Participation in Data Altruism;4;Does the organisation participate in recognised data‑altruism initiatives or voluntarily provide data for public‑good research projects?;Responsible sharing for public benefit creates societal value and builds transparency and trust.;"0=None; 3=Exists";"None – organisation does not provide data voluntarily for public-good purposes; Exists – organisation participates in recognised data altruism initiatives, is formally registered (e.g., under EU Data Governance Act), or provides data voluntarily to research efforts or other public-good projects";DRG#4: Data Fairness;–
Algorithmic Impact Assessments Conducted;5;To what extent does the organisation assess the ethical and societal impacts of algorithms and automated decision‑making before and during deployment?;Impact assessments help identify and mitigate risks such as bias, unfair outcomes, and unintended harms.;"0=None; 1=Ad hoc; 2=Planned; 3=Applied; 4=Systematic; 5=Embedded";"None – no ethical or impact assessment of algorithms; Ad hoc – informal checks or discussions only; Planned – framework for assessments exists but not consistently applied; Applied – assessments conducted for some algorithms affecting users; Systematic – assessments required and carried out for all significant algorithmic systems; Embedded – assessments fully integrated into governance with transparency and external review";DRG#5: Trustworthy Algorithms;DRG#6: Transparency
AI Ethics Board & Oversight;5;What form of ethical oversight exists for algorithmic projects (e.g., guidelines for teams, assigned oversight, or a reviewing committee)?;Structured oversight aligns algorithmic development with organisational values and public expectations, improving accountability.;"0=None; 1=Ad hoc; 2=Guidelines; 3=Oversight assigned; 4=Committee; 5=Integrated";"None – no ethical oversight of algorithms; Ad hoc – informal awareness or one-off discussions; Guidelines – AI ethics guidelines or principles exist for staff/project teams; Oversight assigned – responsibility for AI ethics assigned to existing governance functions (e.g., compliance, risk, legal); Committee – dedicated AI ethics committee or working group established, reviewing algorithmic projects; Integrated – oversight fully embedded in governance with clear authority, transparency, and regular reporting to leadership";DRG#5: Trustworthy Algorithms;DRG#6: Transparency, DRG#3: Privacy
Public Digital Ethics Principles Published;6;Has the organisation published ethical AI or digital responsibility principles, and does it report on their implementation?;Publishing principles and reporting on progress provides transparency and enables external accountability.;"0=None; 1=Published; 2=Reported";"None – no published ethical AI or digital responsibility principles; Published – principles are published but no regular reporting; Reported – principles are published and the organisation regularly reports on their implementation";DRG#6: Transparency;DRG#5: Trustworthy Algorithms
Clear Privacy Policy & Data Use Disclosure;6;How clear, findable, and well‑structured are the organisation’s privacy policies and data‑use notices?;Plain, well‑structured policies reduce information asymmetry and help users understand how their data is used.;"0=None; 1=Minimal; 2=Complete; 3=Clear & user-friendly";"None – no accessible privacy policy; Minimal – policy exists but vague, incomplete, or hard to find; Complete – policy covers required legal elements (e.g., what data, purposes, sharing) and is findable, but written in complex or legalistic style; Accessible & user-friendly – policy is complete, easy to find, well-structured (e.g., FAQs, layered notices), and written in plain language with examples";DRG#6: Transparency;DRG#3: Privacy
Open Communication Channels;6;How accessible and responsive are the organisation’s channels for user questions about digital products and services?;Easy‑to‑find, supportive channels improve user trust and reduce friction when issues arise.;"0=None; 1=Basic; 2=Available; 3=Accessible & supportive";"None – no channel for user questions on digital products/services; Basic – channel exists but limited (e.g., generic email, hard to find); Available – clear channel provided and functional (e.g., helpdesk, chat, hotline), but limited support; Accessible & supportive – multiple accessible channels (e.g., phone, chat, email) easy to find and responsive, designed to support all users";DRG#6: Transparency;
Stakeholder Engagement;7;How regularly and systematically are stakeholders (e.g., users, employees, communities, regulators) engaged in the design and evaluation of digital initiatives?;Meaningful engagement surfaces risks early, aligns services with real needs, and improves legitimacy.;"0=None; 1=Ad hoc; 2=Consulted; 3=Structured; 4=Integrated";"None – no stakeholder involvement; Ad hoc – occasional, informal input (e.g., survey during rollout); Consulted – stakeholders asked for feedback in some projects (e.g., focus groups, employee input); Structured – regular, documented engagement with stakeholders (e.g., user panels, regulator workshops) influencing outcomes; Integrated – stakeholder engagement embedded in governance/strategy with ongoing dialogue and accountability (e.g., advisory panels, community reps)";DRG#7: Human Agency & Identity;DRG#6: Transparency
Sustainable Development Goals;7;To what extent are digital initiatives aligned with the UN Sustainable Development Goals and reported on?;Linking digital work to SDGs connects business outcomes to societal value and enables clearer impact reporting.;"0=None; 1=Referenced; 2=Aligned; 3=Integrated; 4=Reported";"None – no reference to SDGs; Referenced – SDGs mentioned in strategy or policies, but not linked to activities; Aligned – specific digital initiatives linked to selected SDGs; Integrated – SDGs embedded into organisational strategy and decision-making; Reported – regular public reporting on progress against SDG targets with evidence";DRG#7: Human Agency & Identity;
Board-Level Digital-Risk Governance;7;Are digital and cybersecurity risks explicitly addressed in board‑level governance (e.g., documented roles, regular reporting)?;Board attention ensures adequate investment and accountability for digital and cyber risks.;"0=None; 1=Ad hoc; 2=Documented; 3=Integrated";"None – no evidence that digital/cyber risks are considered at board level; Ad hoc – risks occasionally discussed but not formalised in governance; Documented – digital/cyber risks explicitly included in board governance documents (e.g., risk registers, charters); Integrated – board regularly addresses digital/cyber risks with structured reporting and accountability";DRG#7: Human Agency & Identity;
